latitude,longitude,loc_name,loc_admin_street1,loc_admin_city,loc_admin_state,loc_admin_zip,loc_phone,web_address,insurance_accepted,med_name,Index
40.579081,-74.100538,Lucias Pharmacy #MS1005678,2090 HYLAN BLVD,Staten Island,NY,10306,(917) 830-0600,http://www.luciaspharmacy.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",11.0
40.725066,-73.947222,SAI APTEKA PHARMACY INC. #MS1000208,151 NASSAU AVE,BROOKLYN,NY,11222-4023,(718) 349-8989,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COMIRNATY, 30 mcg/0.3 mL, tris-sucrose",12.0
40.66788,-73.980498,Greentree Pharmacy #MS1005401,291 7th Avenue,BROOKLYN,NY,11215,(718) 768-2700,http://www.greentreepharmacy.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",13.0
40.624089,-74.030999,BEST CARE PHARMACY #332502,8510 3RD AVENUE,BROOKLYN,NY,11209,(718) 680-9855,https://bestcarepharmacy.com/,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL",15.0
40.716055,-73.997548,FAMILY CHOICE PHARMACY CORP #MS1005909,13-17 ELIZABETH ST UNIT10,NEW YORK,NY,10013-4149,212-925-6088,,,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",17.0
40.799013,-73.93891,Rite Aid #RA104798,2155 THIRD AVENUE,NEW YORK,NY,10035-4707,212-534-9781,https://www.riteaid.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",18.0
40.641897,-74.094895,HENDRIX PHARMACY #MS1006487,121 LAFAYETTE AVE,STATEN ISLAND,NY,10301-1249,708-524-7099,,,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",19.0
40.619739,-73.989939,Silver Rod Pharmacy #MS1005246,6404 18TH AVE,Brooklyn,NY,11204-3796,(718) 236-5705,http://www.silverrodrx.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL",21.0
40.665286,-73.956785,Rite Aid #RA103978,1679 BEDFORD AVENUE,BROOKLYN,NY,11225-2601,718-282-7476,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",23.0
40.719804,-73.844529,Rite Aid #RA104852,71-14 AUSTIN STREET,FOREST HILLS,NY,11375-4721,718-575-1012,https://www.riteaid.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",25.0
40.718798,-73.813692,AVONORA INC #5829760,14901 UNION TURNPIKE,FLUSHING,NY,11367,(718) 969-3300,,True,"Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL:Pfizer-BioNTech, COMIRNATY, 30 mcg/0.3 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Novavax, COVID-19 Vaccine, 5 mcg/0.5 mL:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",26.0
40.605666,-73.98342,WELLNESS PHARMACY INC #MS1006265,217 KINGS HWY,BROOKLYN,NY,11223-1106,(718) 232-8277,,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",31.0
40.748674,-73.87577,MI FARMACIA #MS1001199,90-15 ROOSEVELT AVENUE,JACKSON HEIGHTS,NY,11372,(718) 429-7666,,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",32.0
40.771137,-73.95038,Health Wise Pharmacy #MS1005093,1494 York Ave,New York,NY,10075,(212) 472-5600,http://www.thehealthwisenyc.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL",34.0
40.757155,-73.867694,Northern Blvd Pharmacy #MS1005493,100-16 northern blvd,Corona,NY,11368-1047,(718) 899-1700,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",35.0
40.865774,-73.858806,Benjamins Pharmacy and Surgical #MS1005357,989 Allerton Ave,Bronx,NY,10469,(718) 405-9111,http://www.benjaminspharmacy.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",36.0
40.731466,-73.954241,OMM PHARMACY #MS1000190,942 MANHATTAN AVE,BROOKLYN,NY,11222-1626,(718) 500-4928,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",37.0
40.722844,-73.976902,Rite Aid #RA103771,85 AVENUE D,NEW YORK,NY,10009-5338,212-475-5315,https://www.riteaid.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",39.0
40.766931,-73.73873,DANA PHARMACY INC #MS1000428,248-12 NORTHERN BLVD 1C,LITTLE NECK,NY,11362-1207,(718) 224-3233,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",41.0
40.852126,-73.931344,Rite Aid #RA102727,1510 SAINT NICHOLAS AVENUE,NEW YORK,NY,10033-3124,917-521-7814,https://www.riteaid.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",43.0
40.867888,-73.883672,Leroy Pharmacy IV #MS1005225,387 Bedford Park Blvd,Bronx,NY,10458,718-933-1154,,,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",45.0
40.837332,-73.907039,Rx Masters Inc #MS1005337,1437 Webster Ave,Bronx,NY,10456-1831,(718) 293-0800,https://rxmastersinc.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",47.0
40.719841,-73.808228,Rite Aid #RA103626,158-02 UNION TURNPIKE,FLUSHING,NY,11366-1940,718-380-8259,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",48.0
40.880828,-73.883708,gig pharmacy inc #MS1005616,3405 jerome ave,bronx,NY,10467-1049,(718) 708-5400,http://www.gigpharmacyinc.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",50.0
40.85058,-73.915962,PARK PLAZA PHARMACY #MS1005354,1773 UNIVERSITY AVENUE,BRONX,NY,10453-6997,(718) 583-5900,http://www.parkplazapharmacyny.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 10mcg/0.2 mL:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",55.0
40.881178,-73.878298,LEGEND DRUGS 1 LLC #MS1000262,159 E GUN HILL RD,BRONX,NY,10467-2106,(718) 708-7427,https://www.legenddrugs1.com/,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",56.0
40.765034,-73.822473,Rite Aid #RA104863,144-29 NORTHERN BOULEVARD,FLUSHING,NY,11354-4230,718-886-1515,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",62.0
40.674687,-73.953455,PRIME HEALTH PHARMACY LLC #MS1006227,1417 BEDFORD AVE,BROOKLYN,NY,11216-4843,718-676-4405,,,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",64.0
40.750019,-73.883899,Rite Aid #RA103984,82-13 37TH AVENUE,JACKSON HEIGHTS,NY,11372-7011,718-565-1473,https://www.riteaid.com,True,"Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",65.0
40.731133,-73.887295,Stop & Shop #509,74-17 GRAND AVENUE,ELMHURST,NY,11373,718-803-3025,https://stopandshopsched.rxtouch.com/rbssched/program/wellness,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose",67.0
40.675845,-73.922227,TOP CARE PHARMACY RX LLC #MS1006226,380 RALPH AVE,BROOKLYN,NY,11233-3918,718-975-8555,,,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",69.0
40.576193,-73.969431,BOARDWALK RX CORP #MS1006165,3100 Ocean Pkwy,brooklyn,NY,11235-8439,(718) 996-7600,,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",73.0
40.70191,-73.941637,Medly Pharmacy #MS1005180,31 Debevoise Street,Brooklyn,NY,11206,(718) 782-7539,http://www.medlypharmacy.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml",74.0
40.801968,-73.956808,DRUG SHOPPE LLC #331930,2074 8TH AVENUE,NEW YORK,NY,10026,212-222-3652,,,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",77.0
40.724704,-73.951534,Euro Chemist Pharmacy #MS1005173,669 Manhattan ave,Brooklyn,NY,11222-3113,(718) 349-6696,,True,"Pfizer-BioNTech, COMIRNATY, 30 mcg/0.3 mL, tris-sucrose:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 10mcg/0.2 mL:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Novavax, COVID-19 Vaccine, 5 mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, SPIKEVAX, 100mcg/0.5mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose",80.0
40.632519,-74.074945,Rite Aid #RA110535,385 BAY STREET STE 1,STATEN ISLAND,NY,10301-3264,718-727-6400,https://www.riteaid.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL",82.0
40.815619,-73.925557,BOOM PHARMACY #MS1005364,226 EAST 144TH ST FL 2,BRONX,NY,10451-5909,(718) 292-0900,http://www.boompharmacy.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL",83.0
40.593435,-73.979307,86TH STREET COMMUNITY PHARMACY CORP #MS1000261,2789 86TH ST,BROOKLYN,NY,11223-4433,(718) 266-2137,https://86thstreetcommunitypharmacy.com/,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL",85.0
40.655207,-73.888538,STAR DRUGS #MS1006163,922 PENNSYLVANIA AVE,BROOKLYN,NY,11207-8402,718-649-0499,,,"Pfizer-BioNTech, COMIRNATY, 30 mcg/0.3 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",86.0
40.76008,-73.978575,Walgreens Co. #14115,51 W 51ST ST,NEW YORK,NY,10019-6113,212-582-8525,https://www.walgreens.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COMIRNATY, 30 mcg/0.3 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL",88.0
40.60675,-73.964338,AID PHARMACY #MS1005943,807 KINGS HIGHWAY,BROOKLYN,NY,11223,(718) 376-3313,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",91.0
40.812108,-73.950141,ahma Rx #MS1005386,2381 Frederick Douglass Blvd,New York,NY,10027-1822,(212) 749-6626,http://www.ahmarx.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",92.0
40.678361,-73.868393,AMIABLE PHARMACY #MS1005775,1108 LIBERTY AVE,BROOKLYN,NY,11208-2922,(718) 827-7528,http://amiableph.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",99.0
40.737,-73.865152,CEDARS PHARMACY #MS1005113,95-19 57TH AVE,ELMHURST,NY,11373-4616,(718) 271-9429,,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",100.0
40.838652,-73.941874,COLUMBIA PHARMACY #MS1005077,3921 BROADWAY,NEW YORK,NY,10032,(212) 928-6342,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL",107.0
40.673934,-73.735682,Merrick Pharmacy #MS1005221,23428 Merrick Blvd,Rosedale,NY,11422-1320,718-997-8700,,,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",114.0
40.57814,-73.956677,ALL AMERICAN DRUGGISTS #MS1003351,1101 BRIGHTON BEACH AVE,BROOKLYN,NY,11235-5558,(718) 891-2801,,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",119.0
40.835906,-73.922244,RX SOLUTIONS PHARMACY INC #MS1005618,2 E 167TH ST,BRONX,NY,10452,(347) 963-9700,www.rxsolutionspharmacyinc.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL",122.0
